league_id,league_name,team_api_id,country_id,country_name,id,team_fifa_api_id,team_long_name,team_short_name,favored
1,Belgium Jupiler League,9987,1,Belgium,1,673.0,KRC Genk,GEN,146
1,Belgium Jupiler League,274581,1,Belgium,2510,111560.0,Royal Excel Mouscron,MOP,14
1,Belgium Jupiler League,8573,1,Belgium,2476,682.0,KV Oostende,OOS,26
1,Belgium Jupiler League,8475,1,Belgium,2004,110913.0,Waasland-Beveren,WAA,14
1,Belgium Jupiler League,1773,1,Belgium,1513,100087.0,Oud-Heverlee Leuven,O-H,20
1,Belgium Jupiler League,9989,1,Belgium,1034,239.0,Lierse SK,LIE,31
1,Belgium Jupiler League,9997,1,Belgium,614,680.0,Sint-Truidense VV,STT,35
1,Belgium Jupiler League,8571,1,Belgium,14,100081.0,KV Kortrijk,KOR,88
1,Belgium Jupiler League,9986,1,Belgium,18,670.0,Sporting Charleroi,CHA,61
1,Belgium Jupiler League,9998,1,Belgium,8,1747.0,RAEC Mons,MON,29
1,Belgium Jupiler League,8635,1,Belgium,6,229.0,RSC Anderlecht,AND,200
1,Belgium Jupiler League,9993,1,Belgium,2,675.0,Beerschot AC,BAC,61
1,Belgium Jupiler League,6351,1,Belgium,1042,2013.0,KAS Eupen,EUP,4
1,Belgium Jupiler League,9994,1,Belgium,4,2007.0,Sporting Lokeren,LOK,97
1,Belgium Jupiler League,9996,1,Belgium,16,111560.0,Royal Excel Mouscron,MOU,12
1,Belgium Jupiler League,10000,1,Belgium,3,15005.0,SV Zulte-Waregem,ZUL,103
1,Belgium Jupiler League,9984,1,Belgium,5,1750.0,KSV Cercle Brugge,CEB,72
1,Belgium Jupiler League,7947,1,Belgium,9,,FCV Dender EH,DEN,8
1,Belgium Jupiler League,8203,1,Belgium,11,110724.0,KV Mechelen,MEC,86
1,Belgium Jupiler League,9991,1,Belgium,7,674.0,KAA Gent,GEN,170
1,Belgium Jupiler League,4049,1,Belgium,15,,Tubize,TUB,3
1,Belgium Jupiler League,10001,1,Belgium,17,681.0,KVC Westerlo,WES,59
1,Belgium Jupiler League,8342,1,Belgium,12,231.0,Club Brugge KV,CLB,184
1,Belgium Jupiler League,9985,1,Belgium,10,232.0,Standard de Liège,STL,172
1,Belgium Jupiler League,9999,1,Belgium,13,546.0,KSV Roeselare,ROS,11
1729,England Premier League,8528,1729,England,3464,1917.0,Wigan Athletic,WIG,57
1729,England Premier League,10172,1729,England,5747,15.0,Queens Park Rangers,QPR,32
1729,England Premier League,8602,1729,England,4225,110.0,Wolverhampton Wanderers,WOL,35
1729,England Premier League,8191,1729,England,4234,1796.0,Burnley,BUR,19
1729,England Premier League,8658,1729,England,4218,88.0,Birmingham City,BIR,22
1729,England Premier League,8483,1729,England,4996,1926.0,Blackpool,BLA,7
1729,England Premier League,9850,1729,England,5756,1792.0,Norwich City,NOR,45
1729,England Premier League,8197,1729,England,8021,95.0,Leicester City,LEI,34
1729,England Premier League,9798,1729,England,6509,1793.0,Reading,REA,6
1729,England Premier League,8466,1729,England,6504,17.0,Southampton,SOU,84
1729,England Premier League,9826,1729,England,7261,1799.0,Crystal Palace,CRY,31
1729,England Premier League,8344,1729,England,7276,1961.0,Cardiff City,CAR,11
1729,England Premier League,8678,1729,England,8779,1943.0,Bournemouth,BOU,13
1729,England Premier League,9817,1729,England,8784,1795.0,Watford,WAT,11
1729,England Premier League,8655,1729,England,3468,3.0,Blackburn Rovers,BLB,52
1729,England Premier League,10003,1729,England,5744,1960.0,Swansea City,SWA,77
1729,England Premier League,8456,1729,England,3466,10.0,Manchester City,MCI,261
1729,England Premier League,10261,1729,England,3458,13.0,Newcastle United,NEW,94
1729,England Premier League,8659,1729,England,3460,109.0,West Bromwich Albion,WBA,85
1729,England Premier League,8462,1729,England,3476,1790.0,Portsmouth,POR,22
1729,England Premier League,10260,1729,England,3457,11.0,Manchester United,MUN,275
1729,England Premier League,9825,1729,England,3459,1.0,Arsenal,ARS,266
1729,England Premier League,8472,1729,England,3461,106.0,Sunderland,SUN,89
1729,England Premier League,8654,1729,England,3463,19.0,West Ham United,WHU,89
